,CA,SVM,D,MA,B,M,C,MHR,CANS,L,P,IncO,IncN,CamO,CamN,ConO,ConN,Confi,HyMS,AMIP,OTI,BYA,CostN,AE,AEOCN,NServ,Nteam,TieL,Ent,Mom,Tem,CulM,Cre,Mod,Bar,Obj,Inf,BenNube,MedBNube,ML,Cluster,Nombre Cluster
0,eea15b72e72c0034b32fb3154a07a273e451a437dc82095314385466d89c973c,4.0,0.4975759290833333,83.58333333333333,0.16666666666666666,0.0,0.16666666666666666,33.61094907075,0.3333333333333333,32.32327668,8.681472915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,2.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.745459328958316,1.4,1.5,Cluster Avance y rápida recuperación
1,423b3edb75c1d6ccf6ce5b49266157c82dd89853f89accd3606fddec92418191,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,15.5,12.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,7.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.6110653711745089,1.6,2.0,Cluster Desafío en la Entrega
2,0494941a2c1ca07f809b1b964a6260380c6e86821f7182dbee44e284331643a5,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,2.8333333335,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,3.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.839717395686354,1.4,0.5,Cluster Transición en Progreso
3,13cc2281bc201f3178a9570fcfda9e59a10bdb694a4a94a28de0424fa609fe36,3.0,0.0,0.0,22.5,1.9166666666666667,0.0833333333333333,1148.6546991299167,24.5,28.664217104999995,7.07773612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.5,1.5,1.2448917502848016,1.6,-0.5,Cluster de adaptación
4,4caa6eb48b9278137f7de9468c4a443779b072037916ddab2388058bdae07cf1,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,49.92466868,11.295566225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.4461089521752215,1.2,2.0,Cluster Desafío en la Entrega
5,c438b0914160d0751e10d26f3c476576c72433fda04c16ebdcab62f2b2c462ae,4.0,0.25,0.0,0.0,0.0,0.0,5e-06,0.0,26.340324625000004,8.88403733,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,4.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.804400457969932,1.6,0.5,Cluster Transición en Progreso
6,0531dc70363e5c27bc3580fa004b32e68c68b2271abb0a48717bb7966806b947,4.0,0.49816848825,75.91666666666667,0.0,0.0,0.0,5e-06,0.0,101.1551465,41.570539985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,5.0,18.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.9439434362605872,1.6,1.5,Cluster Avance y rápida recuperación
7,a5f5c9e1177511b2dc68f563728f9ef825d361c4d78f932c95f107a041c124b2,3.0,0.4930790334166666,137.0,0.0,0.0,0.0,5e-06,0.0,128.1744796,11.912750575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.5,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.5,1.2529939616985264,1.6,-0.5,Cluster de adaptación
8,2583b718306ac13f71bf6f7f22a43cd8ce6b98cd0c9e323bea938d93fbdb208f,4.0,0.49671359175,113.58333333333331,0.3333333333333333,0.16666666666666666,0.0,30.39226851525,0.5,64.6915957,15.86241427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,6.0,18.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.2398763145759693,1.6,1.5,Cluster Avance y rápida recuperación
9,a6bed2f61e5b0b0827402e9c49be3d0b923d0bea99e12e0c0a3c6916e8ee2740,4.0,0.4998001543333333,12.333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,3.8948148148333335,0.8333333333333334,27.6002328,5.095872925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,0.0,16.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.83501439628098,1.6,1.5,Cluster Avance y rápida recuperación
10,5ca40e4678dbcd8af2f259782b3b9218a94e3297a1ebfd7aea3d729471fe70c0,4.0,0.4998001543333333,12.333333333333334,0.0,0.0,0.0,5e-06,0.0,27.9011811,0.401121096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.8296719845099032,1.0,1.5,Cluster Avance y rápida recuperación
11,449173bf890c4822c181c605a09d56a6399f2bb0cf11d45f48a3f0e58c3c7800,4.5,0.5,0.0,21.25,0.0,0.0,518.25740742025,21.25,14.352215449999997,12.1950714,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.193888879154702,1.2,2.0,Cluster Desafío en la Entrega
12,dfd1a6f966d283d24491c9da6313f80ac44ca3adfcb6237b002a6bf1547571f9,4.5,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,21.890358895,10.75,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,0.0,0.0,0.5,10.0,1.5,1.0,1.0,1.0,0.5,1.5,0.5,1.0,1.5,1.5,0.0,1.839717395686354,1.0,0.0,Cluster Estrategia Optimizada
13,90ecb77f239310e17e3f15ff9056c84f299f2cc01a5be29fd281d85908ca2a4d,4.0,0.5,0.0,0.3333333333333333,0.0833333333333333,0.0833333333333333,2.2135648148333336,0.5,27.131914025,5.337827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,1.0,16.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.839717395686354,1.0,1.5,Cluster Avance y rápida recuperación
14,4977484ae445bec3e29ec2e0790bb52087a0a53d9e2d850018a47b84caf9e684,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,22.129502495,7.12083961,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.839717395686354,1.0,-0.5,Cluster de adaptación
15,a199845013188960d7800d4ee8faf5483541e8c6f637d5cfb8051946273bac34,4.75,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,32.362870125,0.5,0.0,1.5,0.0,1.5,0.0,0.0,1.5,1.5,0.0,1.5,1.5,1.5,0.0,0.0,1.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.762126983346496,1.0,-0.5,Cluster de adaptación
16,f825be5ccc24914304ef7cce25c21b324a556df45fad4f6837d7dc644e2f7de3,4.75,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,32.362870125,5e-06,0.0,1.5,0.0,1.5,0.0,0.0,1.5,1.5,0.0,1.5,1.5,1.5,0.0,0.0,1.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.762126983346496,1.0,-0.5,Cluster de adaptación
